ID,year,price,mileage,tax,mpg,model_A1,model_A3,model_A5,model_A6,model_Q2,model_Q3,model_Q5,transmission_Automatic,transmission_Manual,transmission_Semi-Auto,engineSize_Medium,engineSize_Small,engineSize_XLarge,engineSize_XSmall,engineSize_XXLarge,engineSize_XXSmall,state_New
0.9184595524956972,2016.0,15699.0,0.5709775029601368,0.5471698113207547,0.4122137404580153,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.820460413080895,2017.0,19400.0,0.3692386966627198,0.5471698113207547,0.5152671755725193,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.6659853700516352,2019.0,22000.0,0.0631605490505635,0.5471698113207547,0.2309160305343511,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.5964931153184165,2016.0,14695.0,0.1957637153006183,0.0754716981132075,0.5610687022900764,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.1992254733218588,2014.0,9198.0,0.6651208174363022,0.1132075471698113,0.6679389312977102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0117254733218588,2016.0,10500.0,0.2003245187036793,0.0,0.6984732824427482,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.4162005163511187,2018.0,20450.0,0.3946849098802789,0.5471698113207547,0.58587786259542,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.1234939759036144,2017.0,22498.0,0.2633425426478972,0.5471698113207547,0.7614503816793894,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.5084982788296042,2019.0,25050.0,0.1118822084813401,0.5471698113207547,0.1431297709923664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.829066265060241,2015.0,18500.0,0.2876814454238477,0.6037735849056604,0.3759541984732825,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.7700086058519794,2018.0,17931.0,0.1048765513309652,0.5471698113207547,0.4122137404580153,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.438145438898451,2020.0,60000.0,0.0822150594220058,0.5471698113207547,0.0343511450381679,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.4778399311531842,2019.0,33490.0,0.0548173485944831,0.5471698113207547,0.1431297709923664,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.9979561101549054,2016.0,10999.0,0.2428408542735605,0.0,0.8702290076335879,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3512263339070568,2017.0,21991.0,0.2198614217427531,0.5471698113207547,0.4503816793893129,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.2737736660929432,2018.0,29990.0,0.0819957900276279,0.5471698113207547,0.1145038167938932,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.530012908777969,2019.0,34000.0,0.0,0.5471698113207547,0.1431297709923664,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
