model,year,price,mileage,tax,mpg,engineSize,transmission_Automatic,transmission_Manual,transmission_Semi-Auto,fuelType_Diesel,fuelType_Hybrid,fuelType_Petrol,state_New,state_Used
1,2019,32499,4500.0,150,34.5,5,0,0,1,0,0,1,0,1
3,2013,10500,69670.0,145,53.3,5,1,0,0,1,0,0,0,1
6,2019,32000,2796.0,150,31.7,5,1,0,0,0,0,1,0,1
6,2017,21490,18438.0,150,47.9,1,1,0,0,0,0,1,0,1
6,2016,17499,36615.0,145,51.4,5,1,0,0,1,0,0,0,1
0,2016,12990,35678.0,0,67.3,0,0,1,0,0,0,1,0,1
0,2017,14444,26000.0,145,55.4,1,0,1,0,0,0,1,0,1
2,2018,17300,24140.0,145,52.3,1,0,1,0,0,0,1,0,1
7,2019,31395,2343.0,145,39.2,5,0,0,1,1,0,0,0,1
6,2019,38995,4304.0,145,37.7,5,1,0,0,1,0,0,0,1
5,2019,20750,2200.0,145,49.6,3,0,1,0,1,0,0,0,1
6,2013,13499,43376.0,200,47.9,5,1,0,0,1,0,0,0,1
3,2018,26900,15000.0,150,50.4,5,0,0,1,0,0,1,0,1
4,2020,42500,3000.0,145,37.7,6,0,0,1,1,0,0,0,1
5,2019,26000,7499.0,145,40.9,2,0,0,1,0,0,1,0,1
7,2017,26490,27500.0,145,55.4,5,0,0,1,1,0,0,0,1
1,2014,8499,32379.0,0,74.3,3,0,1,0,1,0,0,0,1
0,2020,22750,2999.0,145,44.8,2,0,0,1,0,0,1,0,1
0,2017,17490,18000.0,145,70.6,1,0,0,1,0,0,1,0,1
0,2015,10299,31239.0,0,80.7,3,0,1,0,1,0,0,0,1
0,2019,21790,5304.0,145,40.9,5,0,0,1,0,0,1,0,1
1,2017,16272,7326.0,20,60.1,1,0,1,0,0,0,1,0,1
0,2019,19000,6934.0,145,47.9,0,0,0,1,0,0,1,0,1
3,2016,19499,21968.0,145,56.5,5,1,0,0,1,0,0,0,1
6,2020,37888,6000.0,145,30.7,5,0,0,1,0,0,1,0,1
2,2018,18995,18696.0,145,50.4,1,0,0,1,0,0,1,0,1
2,2020,29995,4000.0,145,38.2,5,0,1,0,0,0,1,0,1
3,2016,17495,27416.0,125,58.9,5,0,1,0,1,0,0,0,1
7,2019,35500,3322.0,150,38.2,5,0,0,1,1,0,0,0,1
0,2016,11491,20826.0,30,57.6,1,0,1,0,0,0,1,0,1
0,2017,15698,16434.0,145,70.6,1,0,1,0,0,0,1,0,1
2,2016,12992,45338.0,145,51.4,1,0,1,0,0,0,1,0,1
2,2015,15999,29102.0,20,68.9,5,0,1,0,1,0,0,0,1
2,2017,20590,34250.0,125,60.1,6,0,0,1,1,0,0,0,1
2,2019,26491,5500.0,145,39.2,5,0,1,0,0,0,1,0,1
2,2019,23500,4514.0,145,38.2,5,0,1,0,0,0,1,0,1
7,2019,31000,0.0,145,39.2,5,1,0,0,1,0,0,1,0
2,2019,29985,0.0,145,42.8,5,1,0,0,0,0,1,1,0
3,2016,22490,31987.0,265,35.8,6,1,0,0,0,0,1,0,1
1,2019,21990,14246.0,145,42.2,2,0,0,1,0,0,1,0,1
7,2019,31290,11065.0,145,38.2,5,0,0,1,1,0,0,0,1
0,2011,6475,45000.0,0,70.6,3,0,1,0,1,0,0,0,1
3,2018,24300,25120.0,145,47.1,5,0,1,0,0,0,1,0,1
1,2016,17870,42334.0,125,57.6,5,0,0,1,1,0,0,0,1
5,2019,22302,6033.0,150,46.3,3,0,0,1,1,0,0,0,1
6,2019,25950,13542.0,145,39.8,2,0,1,0,0,0,1,0,1
1,2019,18900,0.0,150,51.4,3,0,1,0,1,0,0,1,0
6,2019,31000,4815.0,145,31.7,5,1,0,0,0,0,1,0,1
0,2016,14470,18365.0,30,56.5,1,0,1,0,0,0,1,0,1
0,2016,10510,31913.0,0,67.3,0,0,1,0,0,0,1,0,1
6,2018,23700,16437.0,150,47.9,1,0,0,1,0,0,1,0,1
6,2019,28995,1853.0,145,42.8,5,0,1,0,1,0,0,0,1
7,2018,29000,20527.0,150,40.4,5,1,0,0,0,0,1,0,1
0,2019,22000,7500.0,150,40.9,5,0,0,1,0,0,1,0,1
1,2019,20790,4555.0,145,52.3,3,0,1,0,1,0,0,0,1
2,2019,26950,6000.0,145,38.2,5,1,0,0,0,0,1,0,1
